,CV F1 Mean,CV F1 Std,Test Accuracy,Test Precision,Test Recall,Test F1
Random Forest,0.9788671183431366,0.0027793868574937566,0.991,0.9956709956709957,0.9663865546218487,0.9808102345415778
Gradient Boosting,0.9486255616852336,0.005490792153497012,0.9746666666666667,0.9583333333333334,0.9341736694677871,0.9460992907801419
K-Nearest Neighbors,0.8944731729819813,0.008917924740687772,0.951,0.8715596330275229,0.9313725490196079,0.9004739336492891
Support Vector Machine,0.8895141156170396,0.013242849761672539,0.949,0.8837209302325582,0.9047619047619048,0.8941176470588236
SGD Classifier,0.3652311165816916,0.18017190271495262,0.7916666666666666,0.7305699481865285,0.19747899159663865,0.31091510474090406
Logistic Regression,0.33676489997522807,0.023849636084169224,0.771,0.5391304347826087,0.2605042016806723,0.35127478753541075
